Game Number,Button Hand 1,Button Hand 2,Small Blind Hand 1,Small Blind Hand 2,Big Blind Hand 1,Big Blind Hand 2,UTG Hand 1,UTG Hand 2,UTG+1 Hand 1,UTG+1 Hand 2,Community Card 1,Community Card 2,Community Card 3,Community Card 4,Community Card 5
359,8 of Clubs,K of Spades,5 of Clubs,4 of Spades,5 of Diamonds,K of Hearts,7 of Diamonds,3 of Clubs,2 of Hearts,Q of Clubs,3 of Hearts,4 of Diamonds,6 of Clubs,J of Diamonds,9 of Clubs
360,10 of Diamonds,10 of Clubs,7 of Spades,K of Clubs,9 of Clubs,6 of Diamonds,3 of Clubs,6 of Spades,2 of Spades,9 of Hearts,4 of Hearts,5 of Clubs,6 of Clubs,5 of Hearts,8 of Hearts
361,A of Hearts,3 of Spades,10 of Spades,6 of Spades,3 of Hearts,3 of Diamonds,7 of Clubs,Q of Hearts,6 of Clubs,2 of Clubs,4 of Hearts,8 of Diamonds,3 of Clubs,J of Spades,2 of Spades
362,2 of Spades,8 of Clubs,7 of Hearts,Q of Diamonds,10 of Clubs,10 of Diamonds,6 of Spades,3 of Spades,10 of Spades,K of Spades,Q of Hearts,5 of Clubs,J of Hearts,2 of Hearts,5 of Spades
363,3 of Spades,6 of Clubs,Q of Hearts,8 of Diamonds,Q of Diamonds,J of Diamonds,Q of Clubs,10 of Hearts,Q of Spades,K of Hearts,2 of Diamonds,5 of Clubs,5 of Hearts,2 of Hearts,10 of Spades
364,6 of Clubs,9 of Spades,7 of Hearts,K of Hearts,2 of Diamonds,J of Clubs,3 of Diamonds,2 of Spades,10 of Diamonds,J of Hearts,5 of Hearts,6 of Hearts,7 of Clubs,8 of Hearts,8 of Clubs
365,7 of Diamonds,10 of Hearts,9 of Hearts,6 of Diamonds,7 of Clubs,4 of Clubs,Q of Diamonds,5 of Clubs,9 of Spades,6 of Hearts,A of Clubs,10 of Spades,4 of Hearts,9 of Clubs,5 of Hearts
366,8 of Clubs,5 of Clubs,Q of Hearts,Q of Clubs,6 of Hearts,4 of Spades,7 of Diamonds,A of Diamonds,3 of Spades,8 of Hearts,A of Clubs,J of Spades,2 of Diamonds,10 of Diamonds,2 of Spades
367,Q of Spades,J of Spades,10 of Clubs,4 of Spades,5 of Hearts,6 of Diamonds,9 of Hearts,K of Spades,8 of Spades,J of Diamonds,5 of Diamonds,K of Diamonds,2 of Diamonds,3 of Diamonds,A of Hearts
368,5 of Clubs,5 of Hearts,4 of Hearts,7 of Spades,2 of Spades,9 of Spades,4 of Diamonds,2 of Hearts,4 of Spades,A of Diamonds,8 of Clubs,9 of Hearts,4 of Clubs,8 of Diamonds,8 of Hearts
369,10 of Clubs,6 of Hearts,Q of Hearts,K of Spades,Q of Clubs,3 of Hearts,4 of Hearts,8 of Clubs,6 of Diamonds,7 of Hearts,9 of Spades,J of Diamonds,K of Clubs,4 of Spades,4 of Diamonds
370,7 of Diamonds,10 of Clubs,9 of Hearts,3 of Diamonds,5 of Clubs,8 of Diamonds,J of Hearts,10 of Hearts,7 of Hearts,Q of Hearts,9 of Spades,A of Spades,Q of Diamonds,Q of Clubs,J of Clubs
371,2 of Hearts,A of Clubs,J of Clubs,3 of Diamonds,K of Hearts,A of Hearts,10 of Clubs,10 of Diamonds,8 of Diamonds,9 of Hearts,Q of Diamonds,10 of Spades,7 of Hearts,5 of Hearts,A of Spades
372,9 of Hearts,Q of Hearts,A of Clubs,A of Spades,3 of Spades,Q of Diamonds,7 of Diamonds,3 of Hearts,10 of Hearts,7 of Spades,J of Diamonds,10 of Clubs,7 of Hearts,K of Clubs,9 of Diamonds
373,2 of Clubs,5 of Hearts,2 of Diamonds,5 of Clubs,9 of Diamonds,3 of Spades,7 of Hearts,Q of Hearts,8 of Spades,4 of Clubs,9 of Hearts,7 of Spades,Q of Spades,6 of Hearts,3 of Diamonds
374,8 of Spades,10 of Spades,10 of Diamonds,5 of Spades,Q of Spades,6 of Clubs,Q of Diamonds,J of Hearts,J of Spades,3 of Clubs,K of Diamonds,8 of Clubs,2 of Hearts,9 of Clubs,K of Spades
375,J of Hearts,3 of Hearts,K of Hearts,9 of Hearts,5 of Clubs,6 of Hearts,7 of Diamonds,7 of Spades,6 of Diamonds,A of Hearts,6 of Spades,4 of Diamonds,K of Diamonds,A of Spades,2 of Hearts
376,10 of Spades,7 of Diamonds,J of Clubs,9 of Spades,A of Spades,6 of Clubs,K of Diamonds,2 of Clubs,6 of Hearts,3 of Spades,Q of Hearts,3 of Hearts,Q of Spades,2 of Spades,7 of Spades
377,10 of Clubs,J of Diamonds,A of Hearts,7 of Diamonds,J of Clubs,5 of Spades,2 of Clubs,8 of Clubs,4 of Hearts,6 of Clubs,4 of Spades,J of Spades,3 of Hearts,6 of Spades,5 of Hearts
378,2 of Diamonds,4 of Clubs,6 of Hearts,7 of Diamonds,Q of Hearts,K of Hearts,A of Hearts,3 of Diamonds,10 of Clubs,6 of Spades,9 of Hearts,7 of Hearts,9 of Clubs,5 of Spades,K of Diamonds
379,7 of Clubs,5 of Diamonds,Q of Hearts,J of Hearts,7 of Diamonds,K of Diamonds,9 of Spades,2 of Spades,10 of Hearts,8 of Diamonds,2 of Clubs,4 of Spades,4 of Clubs,Q of Clubs,4 of Diamonds
380,5 of Hearts,3 of Hearts,5 of Spades,3 of Diamonds,6 of Clubs,10 of Spades,J of Clubs,9 of Clubs,7 of Spades,10 of Diamonds,8 of Clubs,3 of Spades,2 of Spades,9 of Hearts,10 of Hearts
381,Q of Clubs,Q of Diamonds,8 of Spades,7 of Hearts,2 of Hearts,K of Spades,K of Clubs,6 of Clubs,3 of Clubs,8 of Clubs,2 of Diamonds,8 of Hearts,J of Clubs,3 of Hearts,2 of Clubs
382,K of Hearts,Q of Clubs,Q of Spades,10 of Hearts,A of Diamonds,2 of Diamonds,A of Hearts,3 of Hearts,9 of Hearts,J of Diamonds,6 of Clubs,K of Diamonds,7 of Clubs,5 of Clubs,3 of Diamonds
383,2 of Diamonds,Q of Spades,8 of Diamonds,9 of Clubs,2 of Spades,8 of Hearts,10 of Clubs,Q of Clubs,9 of Diamonds,3 of Spades,8 of Spades,Q of Diamonds,10 of Diamonds,J of Diamonds,8 of Clubs
384,2 of Clubs,5 of Clubs,5 of Hearts,4 of Hearts,3 of Hearts,K of Diamonds,J of Diamonds,6 of Spades,6 of Diamonds,3 of Clubs,9 of Diamonds,10 of Hearts,4 of Spades,7 of Hearts,8 of Diamonds
385,3 of Diamonds,4 of Spades,10 of Diamonds,K of Hearts,Q of Spades,J of Clubs,K of Diamonds,6 of Clubs,5 of Hearts,9 of Diamonds,5 of Diamonds,4 of Clubs,6 of Spades,7 of Diamonds,3 of Clubs
386,3 of Clubs,6 of Clubs,Q of Diamonds,8 of Clubs,3 of Spades,4 of Hearts,7 of Diamonds,10 of Clubs,A of Spades,A of Clubs,J of Diamonds,Q of Hearts,A of Diamonds,J of Hearts,K of Clubs
387,2 of Hearts,K of Clubs,5 of Diamonds,J of Hearts,Q of Spades,2 of Diamonds,6 of Diamonds,2 of Spades,A of Hearts,9 of Diamonds,4 of Hearts,8 of Hearts,J of Diamonds,Q of Clubs,Q of Diamonds
388,J of Spades,K of Hearts,5 of Diamonds,9 of Spades,7 of Diamonds,6 of Clubs,4 of Clubs,8 of Hearts,6 of Hearts,3 of Spades,Q of Hearts,A of Spades,6 of Diamonds,2 of Hearts,A of Hearts
389,10 of Diamonds,4 of Spades,3 of Clubs,A of Spades,2 of Diamonds,6 of Clubs,2 of Clubs,5 of Spades,9 of Clubs,2 of Spades,A of Hearts,3 of Diamonds,8 of Clubs,J of Hearts,K of Diamonds
390,Q of Hearts,8 of Clubs,4 of Spades,3 of Clubs,10 of Hearts,5 of Clubs,J of Clubs,4 of Hearts,5 of Hearts,K of Clubs,J of Diamonds,7 of Spades,9 of Clubs,J of Hearts,6 of Diamonds
391,Q of Hearts,5 of Diamonds,6 of Diamonds,10 of Hearts,5 of Spades,8 of Clubs,5 of Clubs,K of Hearts,2 of Diamonds,4 of Diamonds,2 of Spades,7 of Hearts,7 of Diamonds,Q of Diamonds,K of Diamonds
392,2 of Clubs,K of Diamonds,3 of Diamonds,3 of Spades,J of Diamonds,Q of Hearts,4 of Spades,J of Spades,J of Clubs,6 of Diamonds,4 of Diamonds,K of Clubs,8 of Diamonds,Q of Diamonds,4 of Clubs
393,Q of Hearts,J of Spades,7 of Spades,A of Clubs,2 of Diamonds,5 of Clubs,7 of Diamonds,9 of Diamonds,9 of Spades,4 of Spades,6 of Hearts,Q of Diamonds,2 of Hearts,4 of Hearts,A of Diamonds
394,7 of Diamonds,A of Hearts,2 of Spades,4 of Clubs,6 of Diamonds,K of Spades,K of Clubs,6 of Clubs,9 of Clubs,5 of Diamonds,Q of Clubs,10 of Hearts,J of Hearts,A of Spades,9 of Diamonds
395,5 of Spades,10 of Hearts,J of Clubs,A of Clubs,3 of Hearts,A of Hearts,K of Diamonds,4 of Spades,2 of Clubs,2 of Hearts,6 of Clubs,3 of Clubs,6 of Diamonds,A of Diamonds,9 of Hearts
396,6 of Spades,K of Hearts,4 of Hearts,9 of Spades,J of Diamonds,5 of Clubs,A of Spades,9 of Clubs,Q of Diamonds,4 of Spades,2 of Hearts,2 of Clubs,8 of Clubs,Q of Spades,8 of Spades
397,2 of Clubs,A of Diamonds,4 of Diamonds,5 of Hearts,8 of Clubs,4 of Hearts,2 of Diamonds,K of Spades,9 of Clubs,4 of Spades,10 of Hearts,10 of Clubs,5 of Diamonds,10 of Diamonds,J of Hearts
398,2 of Clubs,A of Clubs,4 of Diamonds,6 of Diamonds,6 of Hearts,7 of Diamonds,8 of Spades,A of Spades,5 of Spades,10 of Clubs,10 of Diamonds,8 of Clubs,8 of Hearts,J of Spades,3 of Diamonds
399,4 of Hearts,8 of Hearts,6 of Hearts,10 of Spades,3 of Spades,2 of Diamonds,7 of Clubs,K of Diamonds,K of Clubs,9 of Diamonds,6 of Diamonds,5 of Spades,5 of Diamonds,10 of Hearts,2 of Spades
400,K of Spades,4 of Hearts,5 of Diamonds,2 of Spades,9 of Clubs,Q of Spades,A of Diamonds,3 of Spades,9 of Hearts,9 of Spades,3 of Clubs,6 of Spades,4 of Clubs,8 of Hearts,3 of Hearts
401,J of Spades,3 of Clubs,Q of Clubs,K of Hearts,4 of Clubs,A of Clubs,Q of Spades,10 of Hearts,9 of Diamonds,2 of Clubs,J of Clubs,7 of Clubs,2 of Hearts,A of Diamonds,5 of Clubs
402,7 of Clubs,9 of Clubs,4 of Diamonds,Q of Hearts,6 of Hearts,10 of Diamonds,4 of Hearts,2 of Hearts,9 of Spades,A of Spades,4 of Clubs,K of Spades,10 of Spades,2 of Spades,A of Hearts
403,Q of Spades,9 of Clubs,J of Diamonds,9 of Hearts,A of Hearts,10 of Spades,J of Clubs,6 of Hearts,J of Spades,Q of Hearts,9 of Diamonds,4 of Diamonds,5 of Diamonds,2 of Hearts,Q of Diamonds
404,10 of Hearts,10 of Clubs,8 of Diamonds,6 of Diamonds,8 of Hearts,4 of Clubs,7 of Spades,2 of Hearts,J of Spades,5 of Spades,3 of Clubs,3 of Spades,9 of Spades,7 of Clubs,J of Diamonds
405,Q of Clubs,9 of Spades,2 of Diamonds,6 of Clubs,Q of Diamonds,3 of Clubs,9 of Clubs,2 of Clubs,A of Spades,3 of Hearts,3 of Spades,7 of Diamonds,K of Clubs,4 of Clubs,8 of Hearts
406,6 of Diamonds,6 of Clubs,A of Diamonds,8 of Hearts,10 of Diamonds,9 of Clubs,Q of Diamonds,10 of Hearts,9 of Hearts,3 of Clubs,10 of Spades,A of Spades,5 of Diamonds,2 of Spades,Q of Hearts
407,10 of Diamonds,J of Clubs,K of Spades,6 of Clubs,8 of Spades,6 of Diamonds,2 of Spades,6 of Hearts,4 of Diamonds,8 of Hearts,3 of Hearts,9 of Hearts,2 of Diamonds,7 of Clubs,8 of Diamonds
408,J of Clubs,8 of Clubs,10 of Diamonds,10 of Spades,A of Diamonds,Q of Hearts,6 of Clubs,5 of Diamonds,K of Spades,4 of Diamonds,K of Hearts,3 of Clubs,3 of Diamonds,4 of Spades,7 of Hearts
409,6 of Spades,10 of Clubs,5 of Clubs,K of Spades,J of Diamonds,10 of Spades,5 of Diamonds,8 of Hearts,Q of Diamonds,7 of Spades,9 of Diamonds,8 of Clubs,J of Clubs,Q of Hearts,3 of Hearts
410,Q of Spades,K of Hearts,Q of Hearts,10 of Diamonds,10 of Spades,9 of Hearts,8 of Diamonds,8 of Hearts,8 of Spades,4 of Diamonds,A of Clubs,9 of Spades,2 of Spades,3 of Hearts,9 of Diamonds
411,5 of Hearts,K of Diamonds,4 of Diamonds,6 of Hearts,10 of Clubs,3 of Diamonds,2 of Clubs,10 of Hearts,8 of Hearts,6 of Diamonds,5 of Clubs,9 of Clubs,J of Diamonds,2 of Spades,3 of Hearts
412,9 of Diamonds,2 of Hearts,3 of Diamonds,9 of Hearts,3 of Hearts,3 of Clubs,6 of Hearts,K of Hearts,A of Clubs,5 of Clubs,6 of Diamonds,8 of Clubs,J of Diamonds,Q of Hearts,Q of Diamonds
413,8 of Spades,2 of Clubs,K of Hearts,J of Spades,Q of Clubs,7 of Hearts,6 of Diamonds,7 of Diamonds,4 of Diamonds,10 of Diamonds,K of Diamonds,4 of Spades,8 of Clubs,5 of Diamonds,2 of Hearts
414,8 of Spades,Q of Clubs,6 of Diamonds,3 of Clubs,9 of Spades,4 of Clubs,7 of Spades,5 of Clubs,7 of Clubs,7 of Hearts,3 of Hearts,Q of Spades,3 of Spades,10 of Diamonds,7 of Diamonds
415,4 of Spades,2 of Diamonds,8 of Clubs,3 of Diamonds,9 of Diamonds,10 of Clubs,7 of Hearts,3 of Spades,2 of Hearts,5 of Hearts,4 of Clubs,9 of Hearts,J of Diamonds,K of Spades,6 of Diamonds
416,9 of Spades,J of Spades,2 of Spades,A of Spades,2 of Hearts,4 of Spades,J of Hearts,6 of Hearts,10 of Spades,K of Spades,7 of Diamonds,6 of Clubs,K of Hearts,J of Diamonds,Q of Diamonds
417,5 of Hearts,Q of Hearts,6 of Spades,J of Spades,4 of Clubs,Q of Clubs,9 of Spades,8 of Spades,5 of Clubs,4 of Diamonds,10 of Diamonds,6 of Hearts,J of Diamonds,5 of Diamonds,8 of Diamonds
418,2 of Clubs,6 of Clubs,4 of Spades,K of Clubs,10 of Diamonds,9 of Hearts,10 of Clubs,4 of Diamonds,2 of Diamonds,2 of Hearts,J of Diamonds,6 of Hearts,7 of Spades,3 of Spades,3 of Hearts
419,10 of Diamonds,2 of Spades,6 of Diamonds,J of Diamonds,2 of Hearts,7 of Diamonds,9 of Hearts,7 of Spades,8 of Hearts,8 of Diamonds,A of Diamonds,K of Clubs,K of Hearts,6 of Clubs,9 of Spades
420,J of Diamonds,3 of Diamonds,Q of Spades,10 of Hearts,8 of Hearts,7 of Clubs,K of Hearts,2 of Spades,J of Spades,4 of Hearts,K of Diamonds,4 of Spades,5 of Diamonds,A of Diamonds,Q of Hearts
421,5 of Clubs,K of Spades,A of Hearts,3 of Diamonds,K of Hearts,2 of Clubs,4 of Diamonds,6 of Diamonds,9 of Spades,10 of Spades,6 of Hearts,5 of Hearts,Q of Hearts,5 of Spades,Q of Clubs
422,7 of Hearts,9 of Diamonds,8 of Spades,J of Hearts,3 of Clubs,6 of Spades,7 of Diamonds,2 of Diamonds,K of Diamonds,8 of Diamonds,J of Clubs,10 of Diamonds,10 of Hearts,5 of Clubs,7 of Clubs
423,8 of Spades,J of Hearts,2 of Spades,6 of Clubs,A of Diamonds,Q of Clubs,4 of Spades,7 of Clubs,K of Hearts,6 of Spades,10 of Spades,3 of Hearts,8 of Hearts,2 of Clubs,2 of Hearts
424,8 of Diamonds,5 of Spades,6 of Diamonds,A of Clubs,J of Hearts,10 of Diamonds,Q of Spades,9 of Diamonds,8 of Hearts,4 of Clubs,3 of Clubs,10 of Clubs,4 of Hearts,A of Spades,3 of Diamonds
425,5 of Clubs,4 of Diamonds,6 of Clubs,10 of Hearts,8 of Clubs,3 of Clubs,K of Hearts,K of Diamonds,J of Spades,3 of Spades,A of Hearts,7 of Clubs,Q of Diamonds,6 of Spades,2 of Hearts
426,9 of Diamonds,4 of Diamonds,Q of Diamonds,A of Clubs,K of Hearts,7 of Diamonds,10 of Hearts,5 of Spades,3 of Diamonds,6 of Diamonds,2 of Diamonds,Q of Spades,8 of Diamonds,5 of Hearts,6 of Hearts
427,4 of Spades,8 of Diamonds,8 of Spades,A of Hearts,7 of Spades,Q of Hearts,K of Spades,9 of Diamonds,3 of Clubs,Q of Diamonds,3 of Hearts,2 of Diamonds,3 of Spades,2 of Spades,4 of Clubs
428,K of Diamonds,9 of Hearts,10 of Diamonds,J of Spades,K of Clubs,Q of Spades,Q of Hearts,K of Hearts,7 of Clubs,A of Hearts,4 of Clubs,9 of Spades,10 of Spades,8 of Clubs,3 of Diamonds
429,3 of Clubs,K of Diamonds,2 of Diamonds,Q of Hearts,2 of Spades,3 of Spades,Q of Clubs,6 of Diamonds,J of Diamonds,8 of Diamonds,4 of Spades,5 of Spades,9 of Clubs,9 of Spades,A of Hearts
430,J of Hearts,8 of Hearts,J of Spades,7 of Spades,2 of Hearts,4 of Spades,6 of Spades,7 of Clubs,7 of Hearts,6 of Hearts,10 of Clubs,4 of Hearts,Q of Diamonds,2 of Diamonds,5 of Clubs
431,A of Clubs,5 of Diamonds,10 of Clubs,7 of Clubs,Q of Spades,5 of Clubs,3 of Clubs,9 of Hearts,9 of Diamonds,3 of Hearts,8 of Clubs,Q of Hearts,9 of Clubs,8 of Hearts,10 of Hearts
432,9 of Hearts,6 of Clubs,8 of Clubs,6 of Hearts,7 of Spades,J of Diamonds,A of Spades,10 of Clubs,Q of Hearts,J of Clubs,8 of Spades,8 of Hearts,7 of Clubs,5 of Spades,4 of Clubs
433,4 of Spades,2 of Clubs,J of Diamonds,6 of Diamonds,3 of Spades,6 of Clubs,3 of Diamonds,8 of Clubs,5 of Diamonds,J of Clubs,7 of Hearts,K of Clubs,4 of Hearts,10 of Hearts,9 of Hearts
434,A of Spades,J of Hearts,4 of Clubs,J of Spades,K of Spades,6 of Hearts,J of Diamonds,2 of Hearts,Q of Clubs,A of Hearts,10 of Hearts,5 of Clubs,5 of Hearts,4 of Diamonds,7 of Diamonds
435,9 of Spades,K of Spades,A of Clubs,8 of Clubs,2 of Diamonds,6 of Hearts,5 of Clubs,7 of Diamonds,7 of Spades,9 of Diamonds,K of Clubs,3 of Spades,Q of Clubs,7 of Clubs,6 of Diamonds
436,4 of Diamonds,A of Clubs,8 of Diamonds,5 of Spades,9 of Spades,4 of Spades,7 of Clubs,Q of Diamonds,6 of Clubs,J of Hearts,6 of Spades,10 of Hearts,7 of Spades,9 of Clubs,6 of Diamonds
437,6 of Spades,2 of Spades,4 of Clubs,J of Diamonds,9 of Diamonds,8 of Hearts,5 of Hearts,J of Spades,4 of Hearts,6 of Hearts,3 of Hearts,9 of Clubs,8 of Clubs,2 of Hearts,K of Clubs
438,5 of Hearts,2 of Clubs,9 of Clubs,4 of Clubs,2 of Diamonds,3 of Hearts,A of Spades,10 of Spades,10 of Diamonds,8 of Clubs,4 of Diamonds,A of Diamonds,7 of Hearts,5 of Clubs,8 of Hearts
439,9 of Clubs,7 of Hearts,2 of Clubs,9 of Hearts,Q of Hearts,A of Clubs,4 of Spades,3 of Diamonds,6 of Diamonds,8 of Spades,J of Hearts,2 of Diamonds,7 of Diamonds,6 of Clubs,9 of Diamonds
440,2 of Spades,K of Hearts,J of Diamonds,6 of Clubs,7 of Spades,5 of Diamonds,6 of Hearts,2 of Diamonds,A of Clubs,10 of Hearts,Q of Spades,A of Spades,J of Hearts,7 of Clubs,J of Clubs
441,4 of Diamonds,3 of Clubs,4 of Hearts,J of Spades,Q of Hearts,6 of Diamonds,K of Diamonds,8 of Clubs,J of Diamonds,10 of Diamonds,Q of Clubs,6 of Spades,8 of Spades,7 of Clubs,3 of Spades
442,5 of Diamonds,2 of Spades,3 of Clubs,5 of Hearts,9 of Spades,J of Hearts,10 of Spades,7 of Clubs,8 of Diamonds,A of Clubs,2 of Clubs,6 of Clubs,3 of Spades,4 of Diamonds,6 of Diamonds
443,4 of Spades,7 of Spades,8 of Clubs,8 of Diamonds,J of Spades,K of Spades,J of Clubs,7 of Hearts,A of Diamonds,2 of Diamonds,Q of Spades,5 of Hearts,J of Hearts,2 of Spades,9 of Hearts
444,J of Diamonds,3 of Diamonds,6 of Hearts,8 of Spades,7 of Hearts,6 of Clubs,2 of Diamonds,8 of Diamonds,A of Diamonds,5 of Spades,4 of Clubs,9 of Hearts,Q of Hearts,Q of Diamonds,K of Hearts
445,3 of Clubs,5 of Hearts,3 of Hearts,9 of Hearts,A of Diamonds,10 of Diamonds,8 of Clubs,Q of Spades,9 of Spades,Q of Clubs,10 of Clubs,4 of Spades,K of Clubs,4 of Hearts,A of Hearts
446,4 of Spades,A of Diamonds,K of Hearts,Q of Clubs,6 of Hearts,A of Spades,4 of Diamonds,J of Hearts,10 of Diamonds,J of Diamonds,6 of Diamonds,3 of Hearts,7 of Diamonds,J of Spades,9 of Clubs
447,A of Spades,10 of Hearts,J of Spades,K of Clubs,9 of Spades,7 of Spades,8 of Clubs,10 of Clubs,A of Diamonds,3 of Spades,A of Clubs,9 of Clubs,7 of Hearts,10 of Spades,9 of Diamonds
448,5 of Hearts,J of Clubs,K of Hearts,10 of Clubs,4 of Clubs,2 of Clubs,2 of Hearts,2 of Spades,8 of Spades,K of Spades,10 of Hearts,4 of Spades,7 of Hearts,3 of Clubs,3 of Spades
449,9 of Clubs,J of Hearts,6 of Clubs,A of Diamonds,3 of Clubs,A of Hearts,A of Spades,Q of Hearts,2 of Clubs,9 of Spades,2 of Diamonds,J of Clubs,9 of Diamonds,K of Diamonds,3 of Diamonds
450,8 of Spades,6 of Diamonds,K of Spades,7 of Hearts,A of Hearts,6 of Clubs,10 of Spades,4 of Spades,J of Hearts,K of Clubs,9 of Diamonds,7 of Spades,4 of Clubs,10 of Clubs,Q of Spades
451,7 of Clubs,Q of Hearts,6 of Diamonds,9 of Spades,2 of Hearts,J of Spades,4 of Spades,3 of Clubs,3 of Spades,4 of Diamonds,A of Hearts,8 of Hearts,Q of Spades,J of Hearts,A of Clubs
452,5 of Clubs,K of Hearts,10 of Clubs,9 of Spades,5 of Diamonds,J of Hearts,6 of Diamonds,K of Diamonds,6 of Clubs,6 of Spades,9 of Clubs,6 of Hearts,Q of Diamonds,J of Spades,9 of Hearts
453,9 of Diamonds,8 of Diamonds,3 of Spades,9 of Hearts,2 of Hearts,A of Clubs,5 of Spades,A of Spades,6 of Clubs,10 of Diamonds,5 of Clubs,7 of Clubs,Q of Hearts,Q of Spades,J of Hearts
454,8 of Clubs,A of Diamonds,7 of Spades,A of Clubs,5 of Spades,2 of Hearts,A of Spades,3 of Clubs,5 of Diamonds,6 of Hearts,9 of Spades,6 of Spades,9 of Diamonds,J of Clubs,6 of Clubs
455,A of Clubs,4 of Spades,10 of Spades,Q of Hearts,6 of Hearts,K of Diamonds,6 of Clubs,7 of Clubs,4 of Diamonds,9 of Hearts,J of Hearts,10 of Hearts,3 of Diamonds,2 of Diamonds,9 of Spades
456,J of Hearts,3 of Clubs,Q of Spades,9 of Spades,5 of Hearts,4 of Hearts,6 of Hearts,7 of Hearts,7 of Diamonds,J of Spades,A of Diamonds,A of Clubs,5 of Clubs,Q of Clubs,6 of Spades
457,K of Spades,7 of Diamonds,5 of Clubs,8 of Clubs,4 of Hearts,5 of Spades,3 of Diamonds,K of Clubs,K of Hearts,6 of Hearts,2 of Clubs,J of Diamonds,7 of Clubs,10 of Diamonds,A of Clubs
458,6 of Spades,6 of Diamonds,7 of Clubs,A of Clubs,8 of Hearts,10 of Hearts,J of Spades,10 of Diamonds,4 of Hearts,Q of Diamonds,Q of Clubs,5 of Hearts,A of Spades,5 of Clubs,5 of Spades
459,10 of Diamonds,A of Clubs,10 of Clubs,4 of Hearts,Q of Hearts,5 of Hearts,9 of Hearts,8 of Diamonds,2 of Clubs,3 of Diamonds,A of Spades,J of Hearts,2 of Hearts,7 of Diamonds,J of Spades
460,2 of Clubs,K of Clubs,5 of Hearts,7 of Hearts,J of Spades,6 of Diamonds,5 of Diamonds,A of Spades,J of Hearts,4 of Hearts,2 of Diamonds,3 of Diamonds,K of Hearts,6 of Spades,6 of Hearts
461,7 of Diamonds,6 of Clubs,4 of Spades,8 of Diamonds,4 of Diamonds,9 of Hearts,10 of Clubs,A of Hearts,7 of Hearts,A of Spades,Q of Hearts,9 of Clubs,8 of Hearts,5 of Clubs,2 of Hearts
462,J of Hearts,K of Diamonds,A of Spades,7 of Spades,Q of Hearts,3 of Clubs,3 of Diamonds,2 of Diamonds,10 of Hearts,6 of Diamonds,6 of Hearts,6 of Spades,7 of Hearts,4 of Diamonds,2 of Spades
463,8 of Diamonds,K of Spades,K of Hearts,J of Hearts,7 of Clubs,9 of Hearts,2 of Diamonds,4 of Spades,3 of Diamonds,4 of Clubs,9 of Spades,10 of Hearts,4 of Diamonds,9 of Diamonds,K of Diamonds
464,9 of Spades,2 of Hearts,7 of Clubs,7 of Hearts,K of Clubs,2 of Spades,10 of Clubs,J of Clubs,3 of Diamonds,J of Spades,J of Hearts,A of Spades,A of Diamonds,2 of Diamonds,8 of Clubs
465,K of Spades,8 of Diamonds,9 of Hearts,8 of Spades,7 of Diamonds,2 of Diamonds,6 of Hearts,7 of Spades,Q of Diamonds,J of Hearts,2 of Clubs,2 of Spades,9 of Clubs,6 of Diamonds,10 of Spades
466,3 of Diamonds,7 of Diamonds,A of Clubs,J of Clubs,9 of Diamonds,K of Hearts,6 of Diamonds,A of Hearts,6 of Spades,10 of Clubs,9 of Hearts,2 of Spades,9 of Clubs,8 of Spades,4 of Clubs
467,J of Spades,6 of Spades,4 of Diamonds,10 of Clubs,4 of Spades,10 of Diamonds,4 of Clubs,A of Spades,5 of Diamonds,5 of Clubs,8 of Clubs,8 of Hearts,10 of Hearts,6 of Clubs,8 of Spades
468,2 of Hearts,4 of Clubs,5 of Diamonds,2 of Spades,K of Diamonds,7 of Clubs,8 of Diamonds,A of Diamonds,J of Clubs,9 of Clubs,J of Hearts,2 of Clubs,6 of Diamonds,Q of Diamonds,5 of Hearts
469,6 of Clubs,8 of Clubs,3 of Hearts,5 of Diamonds,8 of Spades,9 of Clubs,A of Hearts,K of Clubs,3 of Spades,2 of Spades,5 of Clubs,7 of Spades,10 of Spades,4 of Diamonds,8 of Hearts
470,A of Spades,5 of Hearts,3 of Hearts,2 of Diamonds,4 of Spades,5 of Spades,2 of Spades,Q of Clubs,9 of Clubs,8 of Hearts,J of Clubs,8 of Diamonds,A of Diamonds,3 of Spades,K of Diamonds
471,A of Hearts,Q of Spades,7 of Hearts,4 of Spades,6 of Clubs,10 of Hearts,6 of Diamonds,4 of Hearts,3 of Hearts,8 of Spades,2 of Hearts,5 of Clubs,2 of Diamonds,J of Spades,A of Diamonds
472,10 of Spades,5 of Hearts,9 of Diamonds,6 of Diamonds,3 of Spades,4 of Spades,8 of Hearts,A of Diamonds,5 of Clubs,4 of Clubs,Q of Spades,Q of Hearts,J of Spades,K of Hearts,9 of Clubs
473,10 of Hearts,A of Diamonds,Q of Clubs,4 of Spades,6 of Diamonds,6 of Clubs,3 of Hearts,4 of Clubs,9 of Spades,Q of Spades,4 of Diamonds,2 of Clubs,10 of Clubs,9 of Hearts,8 of Spades
474,3 of Hearts,5 of Diamonds,10 of Hearts,4 of Hearts,10 of Diamonds,9 of Diamonds,4 of Clubs,K of Clubs,2 of Spades,8 of Diamonds,7 of Spades,4 of Diamonds,3 of Diamonds,Q of Diamonds,8 of Spades
